Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc2502,Wolfgang Amadeus Mozart,The Complete Piano Sonatas,Ronald Brautigam,FLAC,BitTorrent,2021-02-16,18th-century fortepiano solo instrumental box-sets,
mc2503,Johann Sebastian Bach,"The Flute Sonatas; Flute Partita, BWV 1013","Stephen Preston, Trevor Pinnock, Jordi Savall",FLAC,BitTorrent,2021-02-24,18th-century chamber flute sonatas,
mc2504,Johann Sebastian Bach,"Mass in B minor, BWV 232","Le Concert des Nations, La Capella Reial de Catalunya, Jordi Savall, et al",FLAC,BitTorrent,2021-02-24,18th-century masses choral,
mc2505,Johann Sebastian Bach,"Musikalisches Opfer, BWV 1079","Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-02-24,18th-century fugues canons,
mc2506,Johann Sebastian Bach,"Les Quatre Ouvertures: Suites pour orchestre (BWV 1066--1069)","Le Concert des Nations, La Capella Reial de Catalunya, Jordi Savall",FLAC,BitTorrent,2021-02-24,18th-century orchestral suites,FIXME: Filenames and tags are wrong.
mc2507,Johann Sebastian Bach,"Die Sonaten für Viola da gamba und Cembalo (BWV 1027--1029; BWV 529 arr.)","Jordi Savall & Ton Koopman",FLAC,BitTorrent,2021-02-24,18th-century chamber sonatas viola-da-gamba,
mc2508,Hespèrion XX,España Antigua,Hespèrion XX,FLAC,BitTorrent,2021-02-24,spanish renaissance baroque box-sets,"Includes works by Antonio de Cabezón, Antonio Martín y Coll, Diego Ortiz, Luys Milán, Juan de Encina, and many others."
mc2509,Henry Purcell,The Complete Anthems and Services 7,"The Choir of King's Consort, The Choir of New College, Oxford, The King's Consort, Robert King, et al",FLAC,Personal,2021-03-04,choral 17th-century baroque,
mc2510,Various,Barocke Orgelmusik aus Norddeutschland,Various,FLAC,BitTorrent,2021-03-05,17th-century 18th-century german organ solo,
mc2511,Dieterich Buxtehude,Deutsche Barock Kantaten (VII),"Ricercar Consort, et al",FLAC,BitTorrent,2021-03-05,17th-century cantatas,
mc2512,Dieterich Buxtehude,"Das Jüngste Gericht, BuxWV Anh. 3","La Capella Ducale, Roland Wilson, et al",FLAC,BitTorrent,2021-03-05,17th-century oratorios,
mc2513,Dieterich Buxtehude,Membra Jesu Nostri,"Choir of Radio Svizzera, Lugano; Sonatori de la Gioiosa Marca, Verona; Accademia Strumentale Italiana, Verona; Diego Fasolis; et al",FLAC,BitTorrent,2021-03-05,17th-century cantatas choral,
mc2514,Dieterich Buxtehude,Membra Jesu Nostri,"Hannover Knabenchor, Ton Koopman, et al",FLAC,BitTorrent,2021-03-05,17th-century cantatas choral,
mc2515,Dieterich Buxtehude,Organ Works,Peter Hurford,FLAC,BitTorrent,2021-03-05,17th-century organ choral,
mc2516,Dieterich Buxtehude,"Sonatas op. 1 and op. 2",L'Estravagante,FLAC,BitTorrent,2021-03-05,17th-century chamber sonatas,
mc2517,Dieterich Buxtehude,"Vocal Music, Vol. 2","Copenhagen Royal Chapel Choir, The Dufay Collective, Ebbe Munk, et al",FLAC,BitTorrent,2021-03-05,17th-century vocal cantatas,
mc2518,Various,Die Orgel-Stadt: Stade,"Martin Böcker; Peter Golon",FLAC,BitTorrent,2021-03-05,17th-century 18th-century organ solo,"Includes works by Jan Pieterszoon Sweelinck, Nicolas Strogers, Samuel Scheidt, Heinrich Scheidemann, Dieterich Buxtehude, Johann Nicolaus Hanff, Johann Sebastian Bach, Nicolaus Bruhms, Johann Gottfried Walther, Johann Ludwig Krebs, and from the Suzanne van Soldt MS."
mc2519,Various,German Church Cantatas and Arias,"The Kuijken Consort, The Parnassus Ensemble, René Jacobs",FLAC,BitTorrent,2021-03-05,17th-century 18th-century cantatas vocal arias,
mc2520,Dieterich Buxtehude,Geistliche Kantaten,"Cantus Cölln, Konrad Junghänel",FLAC,BitTorrent,2021-03-05,17th-century cantatas,
mc2521,Arto Lindsay,Invoke,"Arto Lindsay, et al",BitTorrent,FLAC,2021-03-07,jazz brazilian experimental 2000s,
mc2524,Johann Sebastian Bach,Six Brandenburg Concertos,"Dunedin Consort, John Butt",FLAC,BitTorrent,2021-03-10,concertos 18th-century,
mc2525,Johann Sebastian Bach,"Mass in B minor, BWV 232","Dunedin Consort & Players, John Butt",FLAC,BitTorrent,2021-03-10,masses choral 18th-century,
mc2526,George Frideric Handel,"Samson, HWV 57","Dunedin Consort, Tiffin Boys' Choir, John Butt, et al",FLAC,BitTorrent,2021-03-10,oratorios 18th-century choral,
mc2527,George Frideric Handel,"Messiah, HWV 56","Dunedin Consort & Players, John Butt, et al",FLAC,BitTorrent,2021-03-10,oratorios 18th-century choral,
mc2528,Heinrich Ignaz Franz von Biber,"Battalia à 10, Requiem à 15 in Concerto","La Capella Reial de Catalunya, Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,choral masses 17th-century,
mc2529,Heinrich Ignaz Franz von Biber,Missa Bruxellensis 28 vocum,"La Capella Reial de Catalunya, Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,choral masses 17th-century,
mc2530,William Brade,Hamburger Ratsmusik um 1600; Consort Music,"Hespèrion XX, Jordi Savall",FLAC,BitTorrent,2021-03-26,chamber 16th-century 17th-century consort,
mc2531,Joan Cabanilles,"Batallen, Tientos, & Passacalles","Hespèrion XX, Jordi Savall",FLAC,BitTorrent,2021-03-26,chamber 17th-century,
mc2532,Giulio Caccini,Le Nuove Musiche,"Montserrat Figueras, et al",FLAC,BitTorrent,2021-03-26,chamber 17th-century vocal,
mc2533,Emilio de Cavalieri,Rappresentazione di Anima e di Corpo,"Schola Cantorum Basiliensis, Hans-Martin Linde, et al",FLAC,BitTorrent,2021-03-26,opera 17th-century,
mc2534,Joan Cererols,Missa Pro Defunctis; Missa De Batalla,"La Capella Reial, Jordi Savall",FLAC,BitTorrent,2021-03-26,masses choral 17th-century,
mc2535,Marc-Antoine Charpentier,M.A. Charpentier à la Chapelle Royale,"La Capella Reial de Catalunya, Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,choral vocal 17th-century,DVD not included.
mc2536,John Coprario,Consort Musicke,"Jordi Savall, Christophe Coin, Sergi Casademunt",FLAC,BitTorrent,2021-03-26,chamber instrumental 16th-century 17th-century,
mc2537,Mr. de Sainte Colombe le Fils,Pièces de Viole: Les Six Suittes pour Basse de Viole seule,"Jordi Savall, Jean-Pierre Marielle",FLAC,BitTorrent,2021-03-26,solo 17th-century chamber,
mc2538,Mr Demachy,"Pièces de violle, 1685",Jordi Savall,FLAC,BitTorrent,2021-03-26,chamber solo 17th-century,
mc2539,Louis de Caix d'Hervelois,"Pièces de viole avec basse-continuë, 1er & 3ème livres","Jordi Savall, et al",FLAC,BitTorrent,2021-03-26,chamber 17th-century 18th-century,
mc2540,Andreas Hammerschmidt,Vier Suiten aus der Sammlung 'Erster Fleiß',"Hespèrion XX, Jordi Savall",FLAC,BitTorrent,2021-03-26,chamber 17th-century,
mc2541,Hespèrion XXI,Battaglie e Lamenti,"Hespèrion XXI, Montserrat Figueras, Jordi Savall, et al",FLAC,BitTorrent,2021-03-26,vocal 17th-century,"Includes works by Samuel Scheidt, Claudio Monteverdi, Giovanni Gabrieli, Barbara Strozzi, and others."
mc2542,Henricus (Heinrich) Isaac,Au temps de Lorenzo de' Medici & Maximilian I,"La Capella Reial de Catalunya, Hespèrion XXI, Jordi Savall",FLAC,BitTorrent,2021-03-26,15th-century 16th-century motets chansons,
mc2543,Le Concert des Nations,Le Concert Spirituel au temps de Louis XV,"Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,18th-century concertos suites instrumental,"Includes works by Arcangelo Corelli, Georg Philipp Telemann, and Jean-Philippe Rameau."
mc2544,Wolfgang Amadeus Mozart,"Serenate Notturne, Eine kleine Nachtmusik","Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,18th-century orchestral,
mc2545,Diego Ortiz,"Recercadas del Trattado del Glosas, 1553","Jordi Savall, et al",FLAC,BitTorrent,2021-03-26,16th-century chamber,
mc2546,Henry Purcell,"The Fairy Queen, The Prophetess (Orchestral Suites)","Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,17th-century orchestral suites,
mc2547,"Johann Sebastian Bach, Antonio Vivaldi",Magnificat & Concerti,"La Capella Reial de Catalunya, Le Concert des Nations, Jordi Savall",FLAC,BitTorrent,2021-03-26,18th-century choral concertos,
mc2548,Antonio Vivaldi,La Viola da gamba in Concerto,"Le Concert des Nations, Jordi Savall, et al",FLAC,BitTorrent,2021-03-26,18th-century concertos viola-da-gamba,
mc2549,Hespèrion XXI,Istanbul -- Dimitrie Cantemir: 'The Book of the Science of Music' and the Sephardic and Armenian Musical Traditions,Hespèrion XXI,FLAC,BitTorrent,2021-03-28,turkish armenian jewish,
mc2550,"Antonio Vivaldi, Francesco Corselli","Farnace, RV 711","Le Concert des Nations, Jordi Savall, et al",FLAC,BitTorrent,2021-03-28,opera 18th-century,Whole-disc FLAC.
mc2551,Antonio Vivaldi,"Teuzzone, RV 736","Le Concert des Nations, Jordi Savall, et al",FLAC,BitTorrent,2021-03-28,opera 18th-century,
mc2552,T-Bone Walker,The Complete Imperial Recordings 1950--1954,"T-Bone Walker, et al",FLAC,BitTorrent,2021-03-29,blues jazz 1950s,
mc2553,George Frideric Handel,"Messiah, HWV 56 (1751 version)","Academy of Ancient Music, Edward Higginbottom, et al",FLAC,BitTorrent,2021-03-31,18th-century oratorios,
mc2554,George Frideric Handel,"Messiah, HWV 56 (1750 version)","Freiburger Barockorchester, René Jacobs, et al",FLAC,BitTorrent,2021-03-31,18th-century oratorios,
mc2555,George Frideric Handel,"Messias (Messiah), HWV 56 (Edition Johann Adam Hiller)","Festspielorchester Göttingen, Nicholas McGegan, et al",FLAC,BitTorrent,2021-03-31,18th-century oratorios arrangements,
mc2556,George Frideric Handel,"Messiah, HWV 56","Bach Collegium Japan, Masaaki Suzuki, et al",FLAC,BitTorrent,2021-04-03,oratorios 18th-century,
mc2557,George Frideric Handel,"Messiah, HWV 56","S:t Jacobs Kammarkör, Rebaroque, Gary Graden, et al",FLAC,BitTorrent,2021-04-03,oratorios 18th-century,
mc2558,George Frideric Handel,"Messiah, HWV 56 (arr. for wind orchestra)","The Norwegian Wind Ensemble, BBC Singers, David Hill, et al",FLAC,BitTorrent,2021-04-03,oratorios 18th-century arrangements,
mc2559,George Frideric Handel,"Messiah, HWV 56 (arr. for wind orchestra by J. Lubbock)","Orchestra of St John's, OSJ Voices, John Lubbock, et al",FLAC,BitTorrent,2021-04-03,oratorios 18th-century arrangements,
mc2560,George Frideric Handel,"Messiah, HWV 56","Collegium 1704, Collegium Vocale 1704, Václav Luks, et al",FLAC,BitTorrent,2021-04-03,oratorios 18th-century,
mc2561,Johann Sebastian Bach,Intavolatura (complete works for lute),Rolf Lislevand,FLAC,BitTorrent,2021-04-06,baroque 18th-century lute solo,
mc2562,Gaspar Sanz & Antonio Santa Cruz,Encuentro Sanz & Santa Cruz,"Rolf Lislevand, et al",FLAC,BitTorrent,2021-04-06,17th-century guitar lute chamber,
mc2563,Rolf Lislevand,Diminuito,"Rolf Lislevand, et al",FLAC,BitTorrent,2021-04-06,chamber 16th-century 17th-century ecm,
mc2564,Rolf Lislevand,Jul i Gammel Tid,"Rolf Lislevand, Giovanna Pessi",FLAC (whole-disc),BitTorrent,2021-04-06,chamber anonymous carols,
mc2565,Rolf Lislevand,La Belle Homicide: Manuscrit Barbe,Rolf Lislevand,FLAC,BitTorrent,2021-04-06,solo lute french 17th-century,"Includes works by Ennemond Gaultier, Charles Mouton, Jacques Gallot, and others."
mc2566,Rolf Lislevand,La Mascarade,Rolf Lislevand,FLAC,BitTorrent,2021-04-06,solo guitar theorbo 17th-century,Includes works by Robert de Visée & Francesco Corbetta
mc2567,Gipsy Kings,Roots,Gipsy Kings,FLAC,BitTorrent,2021-04-07,flamenco rock 2000s,
mc2568,Johann Sebastian Bach,"Toccatas, BWV 910--916",Christiane Jaccottet,FLAC,BitTorrent,2021-04-07,solo harpsichord 18th-century,
mc2569,"Alfonso Ferrabosco, William Corkine, Anonymous",Lessons for the Lyra-Violl,Jordi Savall,FLAC,BitTorrent,2021-04-10,solo 17th-century,
mc2570,Matteo da Perugia,Hélas Avril: Chansons 1390--1415,"Mala Punica, Pedro Memelsdorff",FLAC,BitTorrent,2021-04-10,songs 14th-century 15th-century,
mc2571,Pedro Estevan,El Aroma del Tiempo,"Pedro Estevan, et al",FLAC,BitTorrent,2021-04-10,contemporary chamber 1990s,
mc2572,Alfonso Ferrabosco,"Consort Music to the Viols in 4, 5, & 6 Parts",Hespèrion XXI,FLAC,BitTorrent,2021-04-10,chamber 17th-century,
mc2573,Melpomen,Ancient Greek Music for an Athenian Symposion of ca. 450 BC,"Ensemble Melpomen, Conrad Steinmann",FLAC,BitTorrent,2021-04-10,greek ancient-music,
mc2574,Henri Du Mont,Motets à deux voix,Ricercar Consort,FLAC,BitTorrent,2021-04-12,17th-century choral motets,
mc2575,Antoine Forqueray,Pièces de Viole avec la Basse Continuë,"Paolo Pandolfo, et al",FLAC,BitTorrent,2021-04-12,17th-century chamber,
mc2576,Hespèrion XX,Folias & Canarios,Hespèrion XX,FLAC,BitTorrent,2021-04-12,renaissance baroque instrumental,"Includes works by Antonio de Cabezón, Girolamo Kapsberger, Gaspar Sanz, Joan Cabanilles, and others."
mc2577,Johannes Schenck,Les Fantaisies bisarres de la Goutte,"Lorenz Duftschmid, et al",FLAC,BitTorrent,2021-04-12,17th-century chamber solo,
mc2578,Jacob van Eyck,Der Fluyten Lust-hof,"Sébastien Marq, Jill Feldman, Rolf Lislevand",FLAC,BitTorrent,2021-04-12,17th-century recorder chamber solo,
mc2579,Antonio Vivaldi,"12 Suonate à Violino Solo, e Basso per il Cembalo (Manchester Manuscript)","Fabio Biondi, et al",FLAC,BitTorrent,2021-04-12,18th-century chamber sonatas violin,
mc2580,Johannes Hieronymus Kapsberger,"Libro Quarto d'Intavolatura di Chitarone, Roma 1640","Rolf Lislevand, et al",FLAC,BitTorrent,2021-04-14,17th-century chamber,
mc2581,Ensemble Kapsberger,Alfabeto,Ensemble Kapsberger,FLAC,BitTorrent,2021-04-14,chamber guitar 17th-century,"Includes works by Giovanni Paulo Foscarini, Francesco Corbetta, and others."
mc2582,Santiago de Murcia,"Codex no. 4, Mexico c. 1730",Ensemble Kapsberger,FLAC,BitTorrent,2021-04-14,chamber guitar 18th-century,
mc2583,Antonio Vivaldi,Musica per mandolino e liuto,"Rolf Lislevand, et al",FLAC,BitTorrent,2021-04-14,chamber concertos lute mandolin 18th-century,
mc2584,Mariachi Tapatío de José Marmolejo,"Mexico's Pioneer Mariachis, vol. 2: Mariachi Tapatío de José Marmolejo",Mariachi Tapatío de José Marmolejo,MP3 128k,BitTorrent,2021-11-05,mexico mariachi 1930s,
mc2585,Johann Sebastian Bach,Fantasias & Fugues,Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo 18th-century,
mc2586,Johann Sebastian Bach,French Suites,Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo 18th-century,
mc2587,Johann Sebastian Bach,Goldberg Variations,Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo 18th-century,
mc2588,Johann Sebastian Bach,Inventionen & Sinfonien,Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo 18th-century,
mc2589,Johann Sebastian Bach,"Italian Concerto; French Overture; Sonata in D minor, BWV 964",Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo 18th-century,
mc2590,Johann Sebastian Bach,"Partitas, BWV 825--830",Masaaki Suzuki,FLAC,BitTorrent,2021-11-26,harpsichord solo 18th-century,
mc2591,Johann Sebastian Bach,Goldberg Variations,Sungyun Cho,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2592,Johann Sebastian Bach,Goldberg Variations,Ottavio Dantone,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2593,Johann Sebastian Bach,Goldberg Variations,Steven Devine,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2594,Johann Sebastian Bach,Goldberg Variations,Richard Egarr,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2595,Johann Sebastian Bach,Goldberg Variations,Ketil Haugsand,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2596,Johann Sebastian Bach,Goldberg Variations,Roberto Loreggian,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2597,Johann Sebastian Bach,Goldberg Variations,András Schiff,FLAC,BitTorrent,2021-11-27,piano solo live 18th-century,
mc2598,Johann Sebastian Bach,Goldberg Variations,Kay Ueyama,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2599,Toru Takemitsu,Complete Solo Guitar Works,Shin-ichi Fukuda,FLAC,BitTorrent,2022-11-22,20th-century guitar solo naxos,
mc2600,Johann Sebastian Bach,Goldberg Variations,Zhu Xiao-Mei,FLAC,BitTorrent,2021-11-27,piano solo live 18th-century,
mc2601,Johann Sebastian Bach,Goldberg Variations; Sarabanda con Partite; Aria Variata,Matthew Halls,FLAC,BitTorrent,2021-11-27,harpsichord solo 18th-century,
mc2602,Johann Sebastian Bach,Goldberg Variations (arr. for koto),Mieko Myazaki,FLAC,BitTorrent,2021-11-27,koto solo arrangements 18th-century,
mc2603,Johann Sebastian Bach,Goldberg Variations,Elena Barshai,FLAC,BitTorrent,2021-11-27,organ solo 18th-century,
mc2604,Louis Marchand,Pièces de Clavecin,Ketil Haugsand,FLAC,BitTorrent,2021-11-29,harpsichord 17th-century solo,
mc2605,Jean-Philippe Rameau,Complete Works for Harpsichord,"Pieter-Jan Belder, Musica Amphion",FLAC,BitTorrent,2021-11-29,harpsichord concertos 18th-century brilliant-classics,
mc2606,Sophie Yates,Il Cembalo Transalpino,Sophie Yates,FLAC,BitTorrent,2021-11-29,harpsichord 17th-century solo,
mc2607,Johann Sebastian Bach,Cello Suites,Zuill Bailey,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2608,Johann Sebastian Bach,Cello Suites,Viola de Hoog,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2609,Johann Sebastian Bach,Cello Suites (2001 recording),Ophélie Gaillard,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2610,Johann Sebastian Bach,Cello Suites (2010 recording),Ophélie Gaillard,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2611,Johann Sebastian Bach,Cello Suites,Anne Gastinel,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2612,Johann Sebastian Bach,Cello Suites,Christian-Pierre La Marca,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2613,Johann Sebastian Bach,Cello Suites,Truls Mørk,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2614,Johann Sebastian Bach,Cello Suites,Marko Ylönen,FLAC,BitTorrent,2021-11-30,18th-century cello solo,
mc2615,Johann Sebastian Bach,Cello Suites (1984 recordings),Mischa Maisky,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2616,Johann Sebastian Bach,Cello Suites (1996 recordings),Hidemi Suzuki,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2617,Johann Sebastian Bach,Cello Suites (2004 recordings),Hidemi Suzuki,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2618,Johann Sebastian Bach,Cello Suites,Torleif Thedéen,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2619,Johann Sebastian Bach,Cello Suites,Richard Tunnicliffe,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2620,Johann Sebastian Bach,Cello Suites,István Várdai,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2621,Johann Sebastian Bach,Cello Suites (2012 recordings),Pieter Wispelwey,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2622,Johann Sebastian Bach,Cello Suites,Winona Zelenka,FLAC,BitTorrent,2021-12-04,18th-century cello solo,
mc2623,Johann Sebastian Bach,Cello Suites (arr. for viola da gamba),Paolo Pandolfo,FLAC,BitTorrent,2021-12-04,18th-century viola-da-gamba solo,
mc2624,Johann Sebastian Bach,Goldberg Variations,Céline Frisch,FLAC,BitTorrent,2021-12-08,18th-century harpsichord solo,
mc2625,Johann Sebastian Bach,Goldberg Variations,Igor Kipnis,FLAC,BitTorrent,2021-12-08,18th-century harpsichord solo,
mc2626,Johann Sebastian Bach,Goldberg Variations,Yannick Le Gaillard,FLAC,BitTorrent,2021-12-08,18th-century harpsichord solo,
mc2627,Johann Sebastian Bach,Goldberg Variations,Lars Ulrik Mortensen,FLAC,BitTorrent,2021-12-08,18th-century harpsichord solo,
mc2628,Johann Sebastian Bach,Goldberg Variations,Sergio Vartolo,FLAC,BitTorrent,2021-12-08,18th-century harpsichord solo,
mc2629,Johann Sebastian Bach,Goldberg Variations (clavichord),Benjamin-Joseph Steens,FLAC,BitTorrent,2021-12-08,18th-century harpsichord solo,
mc2630,Johann Sebastian Bach,Goldberg Variations,Chen Pi-Hsien,FLAC,BitTorrent,2021-12-11,18th-century piano solo naxos,
mc2631,Johann Sebastian Bach,Matthäus-Passion (1742 version),"Dunedin Consort & Players, John Butt, et al",FLAC,BitTorrent,2021-12-12,18th-century oratorios choral,
mc2632,Johann Sebastian Bach,Matthäus-Passion (2016 recording),"English Baroque Soloists, Monteverdi Choir, John Eliot Gardiner, et al",FLAC,BitTorrent,2021-12-12,18th-century oratorios choral,
mc2633,Johann Sebastian Bach,Matthäus-Passion,"Gli Angeli Genève, Stephan MacLeod, et al",FLAC,BitTorrent,2021-12-12,18th-century oratorios choral,
mc2634,Johann Sebastian Bach,Matthäus-Passion,"Bachorchester & Chor Mainz, Ralf Otto, et al",FLAC,BitTorrent,2021-12-12,18th-century oratorios choral naxos,
